City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,holualoa,19.6228,-155.9522,80.44,85,100,10.36,US,1692675788
114,turinsk,58.0458,63.696,52.59,77,16,8.39,RU,1692675788
115,west island,-12.1568,96.8225,80.58,78,40,17.27,CC,1692675788
116,san julian,21.0167,-102.1667,59.49,81,100,2.86,MX,1692675788
117,raja,8.4596,25.678,71.2,99,100,1.86,SS,1692675788
118,oranjemund,-28.55,16.4333,52.83,93,4,1.72,NA,1692675788
119,ushuaia,-54.8,-68.3,38.86,87,100,9.22,AR,1692675789
120,pedernales,18.0384,-71.744,83.37,73,100,5.66,DO,1692675789
121,college,64.8569,-147.8028,60.75,81,75,8.05,US,1692675789
122,kingston,17.997,-76.7936,86.95,71,20,8.05,JM,1692675735
123,hawaiian paradise park,19.5933,-154.9731,80.11,89,100,5.75,US,1692675789
124,namibe,-15.1961,12.1522,62.55,96,33,4.5,AO,1692675789
125,hithadhoo,-0.6,73.0833,81.97,76,89,8.97,MV,1692675789
126,muktsar,30.4833,74.5167,95.92,49,91,4.79,IN,1692675790
127,salmon arm,50.6998,-119.3024,72.32,61,100,3.44,CA,1692675790
128,urumqi,43.801,87.6005,81.55,24,0,4.47,CN,1692675790
129,hermanus,-34.4187,19.2345,53.73,80,7,18.95,ZA,1692675790
130,mukalla,14.5425,49.1242,84.09,78,2,4.38,YE,1692675790
131,klyuchi,52.2667,79.1667,71.85,52,42,7.09,RU,1692675790
132,ugoofaaru,5.6667,73.0,82.96,73,92,11.36,MV,1692675790
133,hobyo,5.3505,48.5268,78.58,85,20,18.16,SO,1692675791
134,glubokoye,50.1456,82.3114,73.15,60,20,2.24,KZ,1692675791
135,iskateley,67.6803,53.1512,44.83,87,94,8.93,RU,1692675791
136,port elizabeth,-33.918,25.5701,50.29,87,0,5.75,ZA,1692675791
137,constitucion,-35.3333,-72.4167,52.27,98,100,7.47,CL,1692675657
138,nova vicosa,-17.8919,-39.3719,74.14,92,56,9.71,BR,1692675772
139,hirara,24.8,125.2833,89.87,70,40,10.36,JP,1692675791
140,lubao,14.9167,120.55,89.31,68,98,4.59,PH,1692675792
141,jamestown,42.097,-79.2353,64.04,82,0,5.75,US,1692675792
142,callao,-12.0667,-77.15,68.29,77,75,9.22,PE,1692675792
143,barreiras,-12.1528,-44.99,77.29,42,56,4.74,BR,1692675792
144,yellowknife,62.456,-114.3525,61.41,86,76,7.81,CA,1692675792
145,mil'kovo,55.6078,37.7956,59.05,70,7,1.41,RU,1692675792
146,beau vallon,-20.4189,57.6953,71.83,88,40,3.44,MU,1692675793
147,jatai,-17.8814,-51.7144,73.47,47,69,3.38,BR,1692675793
148,constantia,44.1833,28.65,75.88,58,2,11.7,RO,1692675793
149,selfoss,63.9331,-20.9971,41.04,84,52,10.29,IS,1692675793
150,cabo san lucas,22.8909,-109.9124,84.61,78,75,6.91,MX,1692675793
